gua,title,text
雷水解,雨过天晴,误会解除，便秘通畅（误）。那种堵在胸口的大石头终于落地了。
山泽损,减肥成功,这里的“损”是减少的意思。减掉脂肪，减掉烦恼，一身轻松。
风雷益,BUFF加成,好像开了挂一样顺手。利用这个机会多做点事，或者多抽几张卡。
泽天夬,当机立断,别犹豫了，无论是删好友还是买东西，现在的决定就是对的。
天风姤,艳遇指数,可能会遇到意想不到的人。是惊吓还是惊喜，全看你今天的发型。
泽地萃,聚众搞事,适合开会、聚餐、狼人杀。把大家聚在一起，快乐加倍。
地风升,步步高升,就像坐电梯一样，不用怎么费力就在往上走。运气来了挡都挡不住。
泽水困,电量不足,感觉被掏空，只想静静。别强撑了，充电去吧。
水风井,心灵鸡汤,你是一口深井，别人都在向你索取情绪价值。记得也要爱自己。
泽火革,改头换面,换个发型，换个心情，或者换个歌单。改变是好运的开始。
火风鼎,大功告成,三足鼎立，稳得一批。你的计划基本已经成型，坐等收成。
震为雷,吓死宝宝,可能会有突发消息让你虎躯一震。稳住，其实也没多大点事。
艮为山,不动如山,无论别人怎么催，你自岿然不动。一种高级的拒绝艺术。
风山渐,循序渐进,这一卦叫“慢慢来”。心急吃不了热豆腐，慢慢听歌，慢慢生活。
雷泽归妹,冲动是魔鬼,可能会因为一时兴起买个没用的东西。控制住你的手！
雷火丰,丰收时刻,无论是精神还是物质，今天都是富足的。哪怕只是吃得太饱。
火山旅,流浪诗人,身体和灵魂，总有一个在路上。如果不能旅行，就让音乐带你去远方。
巽为风,耳边风,别人的闲言碎语就当风吹过。你像风一样自由，捉摸不透。
兑为泽,口吐莲花,今天的嘴特别甜（或者特别毒）。说话很有说服力，适合去砍价。
风水涣,烟消云散,烦恼像雾一样散了。虽然可能只是暂时的，但爽就完事了。
水泽节,适可而止,奶茶喝半杯，熬夜到两点。凡事有个度，快乐才能细水长流。
风泽中孚,信誉满分,你今天说的话特别可信，或者你特别容易相信别人。保持真诚。
雷山小过,有点小错,犯了个小迷糊，无伤大雅。大家反而觉得你有点可爱。
水火既济,功德圆满,事情做完了，完美收官。可以安心躺平了。
火水未济,未完待续,永远有明天，永远有希望。这不是结束，是下一季的预告片。
